helpee_id,title,description,status,category
2,super,"250g de jamon y 300g de queso, un litro de coca",0,Supermercado
1,Farmacia,"Necesito: 1 perifar 600, 1 Actron.",0,Farmacia
1,Facturas,Pagar unas facturas. Tiene que ser esta semana,0,Cobranzas
2,articulos varios,necesito 2 kilos de harina\n1kg de azucar\nUna docena de huevos\n1kg de bananas o manzanas\n1 leche entera  ,0,Supermercado
3,super,"necesito 1kg de tomates y 2kg de arroz, atun 200g",0,Supermercado
3,pedido almacen,pan y 200g de fiambre del amacen. Tambien pagarle al almacenero que le debo 50$,0,Supermercado
3,pedido farmacia,"1 blister de aspirinas, perifar 900",0,Farmacia
3,supermercado,"que alguien me traiga del super: una docena de huevos, 2 litros de leche descremada y pan sin sal. Gracias",0,Supermercado
1,Necesito paracetamol,Paracetamol,1,Farmacia
2,Pedido del super,Precisaría los siguientes productos: \n Coca cola \n Pan,1,Supermercado
3,Facturas UTE y mutualista,Pagar facturas de UTE mes de agosto y septiembre \nAbonar mututalista ,2,Cobranzas
4,Aspirinas,2 blister de asprina,1,Farmacia
4,necesito comida del super,-Leche \n -Pan 1\n -Manteca,1,Supermercado
5,Facturas,Pagar facturas de OSE mes de agosto y septiembre,2,Cobranzas
5,pedido farmacia,Preciso un par de cosas de la farmacia mas cercana \n Bio Grip y dolex. \ Comuniquese y coordinamos horarios,3,Farmacia
1,pedido para hoy al mediodia,Arroz- 1/2k de carne picada - 3 papas - Refresco de su preferencia,3,Supermercado
7,Pago de cuenta,Pagar cuota de socio en el redpagos de su conveniencia,4,Cobranzas
8,necesito pan y queso,Baguette - Queso roquefort ,3,Supermercado
9,necesito agua del supermercado,preciso 2 litros de agua con o sin gas muchas gracias,0,Supermercado
9,preciso articulos de limpieza,preciso: 1 jabon liquido 500cc y una esponja para platos,0,Supermercado
9,papel higienico,6 rollos de papel higienico. es una urgencia,3,Supermercado
1,pedido para hoy al mediodia,Un refresco cualquiera y 1kg de helado,3,Supermercado
1,pedido para hoy de noche,Arroz- 1/2k de carne picada - 3 papas - Refresco de su preferencia,3,Supermercado
2,pedido super,2 litros de leche descremada y manteca 200gr.,0,Supermercado
